exports_from,exports_to,exports_year,section_id,section_name,trade_value,trade_id
usa,ind,2015,15,Metals,1072255090,trade_b_330
usa,ind,2015,16,Machines,3664330453,trade_b_331
usa,ind,2015,17,Transportation,1025565684,trade_b_332
usa,ind,2015,18,Instruments,1307863413,trade_b_333
usa,ind,2015,19,Weapons,13050379,trade_b_334
usa,ind,2015,20,Miscellaneous,87057537,trade_b_335
usa,ind,2015,21,Arts and Antiques,29567177,trade_b_336
usa,ind,2014,1,Animal Products,30271637,trade_b_337
usa,ind,2014,2,Vegetable Products,788912659,trade_b_338
usa,ind,2014,3,Animal and Vegetable Bi-Products,9518486,trade_b_339
usa,ind,2014,4,Foodstuffs,185655613,trade_b_340
usa,ind,2014,5,Mineral Products,1986957123,trade_b_341
usa,ind,2014,6,Chemical Products,2662051928,trade_b_342
usa,ind,2014,7,Plastics and Rubbers,822210505,trade_b_343
usa,ind,2014,8,Animal Hides,20094210,trade_b_344
usa,ind,2014,9,Wood Products,67584545,trade_b_345
usa,ind,2014,10,Paper Goods,855961958,trade_b_346
usa,ind,2014,11,Textiles,279978434,trade_b_347
usa,ind,2014,12,Footwear and Headwear,4920551,trade_b_348
usa,ind,2014,13,Stone And Glass,161386757,trade_b_349
usa,ind,2014,14,Precious Metals,5004743160,trade_b_350
usa,ind,2014,15,Metals,942618577,trade_b_351
usa,ind,2014,16,Machines,3660445493,trade_b_352
usa,ind,2014,17,Transportation,1938398651,trade_b_353
usa,ind,2014,18,Instruments,1287096241,trade_b_354
usa,ind,2014,19,Weapons,31044466,trade_b_355
usa,ind,2014,20,Miscellaneous,86964900,trade_b_356
usa,ind,2014,21,Arts and Antiques,17054717,trade_b_357
usa,ind,2013,1,Animal Products,23488068,trade_b_358
usa,ind,2013,2,Vegetable Products,621998891,trade_b_359
usa,ind,2013,3,Animal and Vegetable Bi-Products,37573595,trade_b_360
usa,ind,2013,4,Foodstuffs,137186435,trade_b_361
usa,ind,2013,5,Mineral Products,1788146770,trade_b_362
usa,ind,2013,6,Chemical Products,2695932350,trade_b_363
usa,ind,2013,7,Plastics and Rubbers,844450091,trade_b_364
usa,ind,2013,8,Animal Hides,20275227,trade_b_365
usa,ind,2013,9,Wood Products,50579657,trade_b_366
usa,ind,2013,10,Paper Goods,749750218,trade_b_367
usa,ind,2013,11,Textiles,274462307,trade_b_368
usa,ind,2013,12,Footwear and Headwear,4302152,trade_b_369
usa,ind,2013,13,Stone And Glass,141609572,trade_b_370
usa,ind,2013,14,Precious Metals,4975318257,trade_b_371
usa,ind,2013,15,Metals,893402469,trade_b_372
usa,ind,2013,16,Machines,3701436178,trade_b_373
usa,ind,2013,17,Transportation,2212971567,trade_b_374
usa,ind,2013,18,Instruments,1290069533,trade_b_375
usa,ind,2013,19,Weapons,27206513,trade_b_376
usa,ind,2013,20,Miscellaneous,90418678,trade_b_377
usa,ind,2013,21,Arts and Antiques,17954637,trade_b_378
usa,ind,2012,1,Animal Products,18930826,trade_b_379
usa,ind,2012,2,Vegetable Products,558833070,trade_b_380
usa,ind,2012,3,Animal and Vegetable Bi-Products,93389024,trade_b_381
usa,ind,2012,4,Foodstuffs,99798351,trade_b_382
usa,ind,2012,5,Mineral Products,1873576131,trade_b_383
usa,ind,2012,6,Chemical Products,3097366092,trade_b_384
usa,ind,2012,7,Plastics and Rubbers,923733391,trade_b_385
usa,ind,2012,8,Animal Hides,24050564,trade_b_386
