From,To,Year,Section ID,Section,HS2 ID,HS2,Trade Value,,,From,To,Year,Section ID,Section,
usa,gbr,2019,2,Vegetable Products,209,"Coffee, tea, mate and spices",17360252,,,usa,jpn,2012,21,Arts and Antiques,58689356
usa,gbr,2019,2,Vegetable Products,210,Cereals,28086844,,,usa,jpn,2013,1,Animal Products,4356889762
usa,gbr,2019,2,Vegetable Products,211,"Products of the milling industry; malt, starches, inulin, wheat gluten",15420629,,,usa,jpn,2013,2,Vegetable Products,6569040510
usa,gbr,2019,2,Vegetable Products,212,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",149999697,,,usa,jpn,2013,3,Animal and Vegetable Bi-Products,74088217
usa,gbr,2019,2,Vegetable Products,213,"Lac; gums, resins and other vegetable saps and extracts",55318246,,,usa,jpn,2013,4,Foodstuffs,2775098162
usa,gbr,2019,2,Vegetable Products,214,Vegetable plaiting materials; vegetable products not elsewhere specified or included,1225115,,,usa,jpn,2013,5,Mineral Products,3648669448
usa,gbr,2019,3,Animal and Vegetable Bi-Products,315,"Animal or vegetable fats, oils and waxes",65833840,,,usa,jpn,2013,6,Chemical Products,10877413356
usa,gbr,2019,4,Foodstuffs,416,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",54565031,,,usa,jpn,2013,7,Plastics and Rubbers,2135751084
usa,gbr,2019,4,Foodstuffs,417,Sugars and sugar confectionery,31290617,,,usa,jpn,2013,8,Animal Hides,170447274
usa,gbr,2019,4,Foodstuffs,418,Cocoa and cocoa preparations,45566825,,,usa,jpn,2013,9,Wood Products,896004201
usa,gbr,2019,4,Foodstuffs,419,"Preparations of cereals, flour, starch or milk; pastrycooks' products",55020088,,,usa,jpn,2013,10,Paper Goods,1336897374
usa,gbr,2019,4,Foodstuffs,420,"Preparations of vegetables, fruit, nuts or other parts of plants",53240312,,,usa,jpn,2013,11,Textiles,614531488
usa,gbr,2019,4,Foodstuffs,421,Miscellaneous edible preparations,227992643,,,usa,jpn,2013,12,Footwear and Headwear,92636264
usa,gbr,2019,4,Foodstuffs,422,"Beverages, spirits and vinegar",439985325,,,usa,jpn,2013,13,Stone And Glass,563735642
usa,gbr,2019,4,Foodstuffs,423,"Food industries, residues and wastes thereof; prepared animal fodder",126728157,,,usa,jpn,2013,14,Precious Metals,1452985988
usa,gbr,2019,4,Foodstuffs,424,Tobacco and manufactured tobacco substitutes,5068319,,,usa,jpn,2013,15,Metals,1633602762
usa,gbr,2019,5,Mineral Products,525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",46014770,,,usa,jpn,2013,16,Machines,11227872893
usa,gbr,2019,5,Mineral Products,526,"Ores, slag and ash",284776228,,,usa,jpn,2013,17,Transportation,5706468199
usa,gbr,2019,5,Mineral Products,527,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",7051984667,,,usa,jpn,2013,18,Instruments,8635662624
usa,gbr,2019,6,Chemical Products,628,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",174119706,,,usa,jpn,2013,19,Weapons,247420426
usa,gbr,2019,6,Chemical Products,629,Organic chemicals,878107518,,,usa,jpn,2013,20,Miscellaneous,587860219
usa,gbr,2019,6,Chemical Products,630,Pharmaceutical products,2757928369,,,usa,jpn,2013,21,Arts and Antiques,103569406
usa,gbr,2019,6,Chemical Products,631,Fertilizers,11098510,,,usa,jpn,2014,1,Animal Products,4758886665
usa,gbr,2019,6,Chemical Products,632,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",135966845,,,usa,jpn,2014,2,Vegetable Products,7307085485
usa,gbr,2019,6,Chemical Products,633,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",808116670,,,usa,jpn,2014,3,Animal and Vegetable Bi-Products,66148562
usa,gbr,2019,6,Chemical Products,634,"Soap, organic surface-active agents, others",148430108,,,usa,jpn,2014,4,Foodstuffs,2591715240
usa,gbr,2019,6,Chemical Products,635,Albuminoidal substances; modified starches; glues; enzymes,81753716,,,usa,jpn,2014,5,Mineral Products,3659882721
usa,gbr,2019,6,Chemical Products,636,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,22872753,,,usa,jpn,2014,6,Chemical Products,10220174286
usa,gbr,2019,6,Chemical Products,637,Photographic or cinematographic goods,34947255,,,usa,jpn,2014,7,Plastics and Rubbers,2150838721
usa,gbr,2019,6,Chemical Products,638,Chemical products n.e.s.,732049946,,,usa,jpn,2014,8,Animal Hides,152852996
usa,gbr,2019,7,Plastics and Rubbers,739,Plastics and articles thereof,1356146982,,,usa,jpn,2014,9,Wood Products,861017960
usa,gbr,2019,7,Plastics and Rubbers,740,Rubber and rubber articles,246574921,,,usa,jpn,2014,10,Paper Goods,1359880671
usa,gbr,2019,8,Animal Hides,841,Raw leather from different animals,6993957,,,usa,jpn,2014,11,Textiles,573142816
usa,gbr,2019,8,Animal Hides,842,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",31032588,,,usa,jpn,2014,12,Footwear and Headwear,87402385
usa,gbr,2019,8,Animal Hides,843,Furskins and artificial fur; manufactures thereof,2942904,,,usa,jpn,2014,13,Stone And Glass,559519059
usa,gbr,2019,9,Wood Products,944,Wood and articles of wood; wood charcoal,1085048526,,,usa,jpn,2014,14,Precious Metals,1485755054
usa,gbr,2019,9,Wood Products,945,Cork and articles of cork,375315,,,usa,jpn,2014,15,Metals,1749020532
usa,gbr,2019,9,Wood Products,946,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",206053,,,usa,jpn,2014,16,Machines,12474655841
usa,gbr,2019,10,Paper Goods,1047,Pulp of wood or other fibrous cellulosic material,12412465,,,usa,jpn,2014,17,Transportation,5314033529
usa,gbr,2019,10,Paper Goods,1048,Paper Articles,348126854,,,usa,jpn,2014,18,Instruments,8300435877
usa,gbr,2019,10,Paper Goods,1049,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",601052556,,,usa,jpn,2014,19,Weapons,263050975
usa,gbr,2019,11,Textiles,1150,Silk,278753,,,usa,jpn,2014,20,Miscellaneous,533409660
usa,gbr,2019,11,Textiles,1151,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",2051351,,,usa,jpn,2014,21,Arts and Antiques,118239905
usa,gbr,2019,11,Textiles,1152,Cotton,4256104,,,usa,jpn,2015,1,Animal Products,4069161548
usa,gbr,2019,11,Textiles,1153,Vegetable textile fibres; paper yarn and woven fabrics of paper yarn,913395,,,usa,jpn,2015,2,Vegetable Products,6388072180
usa,gbr,2019,11,Textiles,1154,Man-made filaments,55410496,,,usa,jpn,2015,3,Animal and Vegetable Bi-Products,58430043
usa,gbr,2019,11,Textiles,1155,Man-made staple fibres,19432866,,,usa,jpn,2015,4,Foodstuffs,2351171911
usa,gbr,2019,11,Textiles,1156,"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",53525009,,,usa,jpn,2015,5,Mineral Products,2674084621
usa,gbr,2019,11,Textiles,1157,Carpets and other textile floor coverings,20933497,,,usa,jpn,2015,6,Chemical Products,9918672090
usa,gbr,2019,11,Textiles,1158,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",6228286,,,usa,jpn,2015,7,Plastics and Rubbers,2068041004
usa,gbr,2019,11,Textiles,1159,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",55963112,,,usa,jpn,2015,8,Animal Hides,107638291
usa,gbr,2019,11,Textiles,1160,Fabrics; knitted or crocheted,3854681,,,usa,jpn,2015,9,Wood Products,759558304
usa,gbr,2019,11,Textiles,1161,Apparel and clothing accessories; knitted or crocheted,131214327,,,usa,jpn,2015,10,Paper Goods,1253370652
usa,gbr,2019,11,Textiles,1162,Apparel and clothing accessories; not knitted or crocheted,108971669,,,usa,jpn,2015,11,Textiles,496111726
usa,gbr,2019,11,Textiles,1163,Textiles rags,43669659,,,usa,jpn,2015,12,Footwear and Headwear,81026970
usa,gbr,2019,12,Footwear and Headwear,1264,Footwear,20488706,,,usa,jpn,2015,13,Stone And Glass,575450051
usa,gbr,2019,12,Footwear and Headwear,1265,Headgear and parts thereof,19324100,,,usa,jpn,2015,14,Precious Metals,1304472974
usa,gbr,2019,12,Footwear and Headwear,1266,Umbrellas,750073,,,usa,jpn,2015,15,Metals,1825104038
usa,gbr,2019,12,Footwear and Headwear,1267,"Feathers and down, prepared; and articles made of feather or of down; artificial flowers; articles of human hair",11589710,,,usa,jpn,2015,16,Machines,11424052266
usa,gbr,2019,13,Stone And Glass,1368,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",185376296,,,usa,jpn,2015,17,Transportation,5278112059
usa,gbr,2019,13,Stone And Glass,1369,Ceramic products,56092134,,,usa,jpn,2015,18,Instruments,8290589310
usa,gbr,2019,13,Stone And Glass,1370,Glass and glassware,157677634,,,usa,jpn,2015,19,Weapons,180544468
usa,gbr,2019,14,Precious Metals,1471,"Precious metals, gems and jewelry",8341405525,,,usa,jpn,2015,20,Miscellaneous,485421135
usa,gbr,2019,15,Metals,1572,Iron and steel,99327390,,,usa,jpn,2015,21,Arts and Antiques,193837504
usa,gbr,2019,15,Metals,1573,Iron or steel articles,496629689,,,usa,jpn,2016,1,Animal Products,4068236470
usa,gbr,2019,15,Metals,1574,Copper and articles thereof,48682353,,,usa,jpn,2016,2,Vegetable Products,5903736045
usa,gbr,2019,15,Metals,1575,Nickel and articles thereof,278332069,,,usa,jpn,2016,3,Animal and Vegetable Bi-Products,56452266
usa,gbr,2019,15,Metals,1576,Aluminium and articles thereof,190318216,,,usa,jpn,2016,4,Foodstuffs,2347065265
usa,gbr,2019,15,Metals,1578,Lead and articles thereof,312447,,,usa,jpn,2016,5,Mineral Products,2936617786
usa,gbr,2019,15,Metals,1579,Zinc and articles thereof,3181558,,,usa,jpn,2016,6,Chemical Products,10549203733
usa,gbr,2019,15,Metals,1580,Tin; articles thereof,695607,,,usa,jpn,2016,7,Plastics and Rubbers,1951115650
usa,gbr,2019,15,Metals,1581,"Metals; n.e.s., cermets and articles thereof",370840458,,,usa,jpn,2016,8,Animal Hides,143764165
usa,gbr,2019,15,Metals,1582,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",167032707,,,usa,jpn,2016,9,Wood Products,731527171
usa,gbr,2019,15,Metals,1583,Metal; miscellaneous products of base metal,184170555,,,usa,jpn,2016,10,Paper Goods,1232609007
usa,gbr,2019,16,Machines,1684,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",6773075896,,,usa,jpn,2016,11,Textiles,464416134
usa,gbr,2019,16,Machines,1685,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",4492241344,,,usa,jpn,2016,12,Footwear and Headwear,69631611
usa,gbr,2019,17,Transportation,1786,"Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds",26045809,,,usa,jpn,2016,13,Stone And Glass,592213523
usa,gbr,2019,17,Transportation,1787,Vehicles,1926869361,,,usa,jpn,2016,14,Precious Metals,1293247506
usa,gbr,2019,17,Transportation,1788,"Aircraft, spacecraft and parts ",1693030666,,,usa,jpn,2016,15,Metals,1716411467
usa,gbr,2019,17,Transportation,1789,"Ships, boats and floating structures",43951767,,,usa,jpn,2016,16,Machines,12193770855
usa,gbr,2019,18,Instruments,1890,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",2829127488,,,usa,jpn,2016,17,Transportation,6025318938
usa,gbr,2019,18,Instruments,1891,Clocks and watches and parts thereof,27087784,,,usa,jpn,2016,18,Instruments,8075454127
usa,gbr,2019,18,Instruments,1892,Musical instruments; parts and accessories of such articles,59479835,,,usa,jpn,2016,19,Weapons,276784209
usa,gbr,2019,19,Weapons,1993,Arms and ammunition; parts and accessories thereof,74653810,,,usa,jpn,2016,20,Miscellaneous,495561741
usa,gbr,2019,20,Miscellaneous,2094,Furniture,394923986,,,usa,jpn,2016,21,Arts and Antiques,259789917
usa,gbr,2019,20,Miscellaneous,2095,Toys,292039393,,,usa,jpn,2017,1,Animal Products,4584991228
usa,gbr,2019,20,Miscellaneous,2096,Miscellaneous manufactured articles,45397407,,,usa,jpn,2017,2,Vegetable Products,6119813532
usa,gbr,2019,21,Arts and Antiques,2197,Works of art; collectors' pieces and antiques,2310477208,,,usa,jpn,2017,3,Animal and Vegetable Bi-Products,51988071
usa,jpn,2010,1,Animal Products,101,Animals; live,56597238,,,usa,jpn,2017,4,Foodstuffs,2207036075
usa,jpn,2010,1,Animal Products,102,Meat and edible meat offal,2380136303,,,usa,jpn,2017,5,Mineral Products,6368380723
